iter	Passed	Remaining
0	5722	1144577
1	10085	1003535
2	14122	932058
3	17997	886385
4	21893	858231
5	25560	830709
6	29369	813957
7	33169	800221
8	36810	785283
9	40544	774404
10	44207	763580
11	47849	753634
12	51635	746729
13	55514	741519
14	59164	733641
15	62868	726914
16	66496	719731
17	70083	712516
18	73692	705898
19	77408	700547
20	81157	695635
21	84908	690846
22	88656	686121
23	92518	682323
24	96251	677607
25	99952	672757
26	103663	668055
27	107402	663596
28	111109	658996
29	114812	654433
30	118556	650147
31	122271	645747
32	125952	641213
33	129796	637529
34	133626	633772
35	137299	629287
36	140922	624628
37	144638	620421
38	148205	615621
39	151912	611447
40	155685	607553
41	159427	603547
42	163125	599392
43	166965	595763
44	170605	591433
45	174340	587452
46	178023	583312
47	181649	579008
48	185358	574990
49	189040	570900
50	192836	567165
51	196595	563321
52	200157	558929
53	203827	554863
54	207507	550838
55	211055	546482
56	214752	542531
57	218560	538864
58	222134	534629
59	225818	530672
60	229552	526840
61	233411	523292
62	237100	519362
63	240893	515661
64	244664	511912
65	248413	508118
66	252098	504196
67	255853	500418
68	259443	496326
69	263171	492507
70	266902	488695
71	270564	484761
72	274393	481128
73	278026	477153
74	281741	473325
75	285382	469379
76	288975	465363
77	292708	461578
78	296334	457630
79	300031	453797
80	303715	449948
81	307334	446009
82	311089	442272
83	314744	438393
84	318414	434541
85	322290	430969
86	325938	427091
87	329513	423125
88	333346	419492
89	337119	415780
90	341443	412733
91	345134	408909
92	348812	405073
93	352627	401395
94	356261	397513
95	359834	393569
96	363562	389798
97	367301	386040
98	371045	382289
99	374773	378521
100	378426	374679
101	382165	370925
102	385632	366912
103	389343	363137
104	393022	359334
105	396658	355496
106	400239	351612
107	404247	348101
108	407951	344325
109	411615	340518
110	415265	336701
111	418973	332934
112	422597	329102
113	426177	325240
114	429910	321498
115	433572	317704
116	437231	313909
117	440928	310144
118	444571	306343
119	448205	302538
120	452036	298867
121	455718	295096
122	459429	291345
123	462948	287476
124	466567	283672
125	470091	279816
126	473798	276071
127	477471	272308
128	481004	268467
129	484828	264791
130	485382	259364
131	488993	255610
132	492745	251930
133	496353	248176
134	499972	244430
135	503747	240761
136	507265	236970
137	510871	233224
138	514559	229515
139	518082	225735
140	521690	221995
141	525306	218261
142	528913	214524
143	532608	210824
144	536214	207089
145	539939	203401
146	543471	199642
147	547125	195930
148	550799	192225
149	554458	188515
150	558032	184779
151	561563	181030
152	565117	177291
153	568758	173582
154	572444	169886
155	576019	166159
156	579601	162435
157	583184	158714
158	586792	155001
159	590412	151293
160	594022	147583
161	597852	143927
162	601505	140228
163	605065	136508
164	608648	132795
165	612264	129091
166	615843	125381
167	619489	121685
168	623053	117974
169	626643	114270
170	630141	110551
171	633834	106867
172	637537	103185
173	641127	99485
174	644642	95775
175	648229	92078
176	651906	88394
177	655487	84697
178	659111	81008
179	662712	77316
180	666270	73621
181	669895	69934
182	673461	66242
183	677186	62566
184	680753	58875
185	684391	55192
186	688009	51508
187	691602	47823
188	695189	44139
189	698803	40457
190	702404	36775
191	706058	33096
192	709751	29419
193	713560	25747
194	717162	22066
195	720699	18385
196	724451	14709
197	728013	11030
198	731578	7352
199	735207	3676
200	738766	0
