,unacast_session_count
2147,70.0
35316,30.0
24017,32.0
2044,7.0
47189,23.0
39598,83.0
43304,64.0
19605,16.0
43559,28.0
1088,56.0
26483,214.0
21818,24.0
38289,29.0
33867,220.0
46105,110.0
13238,15.0
12031,17.0
27414,29.0
12548,265.0
32070,55.0
48061,16.0
36664,107.0
12288,1.0
29208,15.0
24197,35.0
15530,59.0
21835,171.0
9178,26.0
30860,84.0
41655,64.0
49649,149.0
30886,39.0
6936,24.0
17022,192.0
12844,79.0
47537,29.0
30869,18.0
37701,108.0
41123,82.0
14916,25.0
36597,75.0
13493,14.0
44962,112.0
4961,69.0
37888,31.0
11372,53.0
32258,40.0
5587,19.0
10292,113.0
48632,31.0
40507,6.0
19421,261.0
46080,71.0
33198,50.0
13395,71.0
26737,121.0
20077,48.0
3960,8.0
11037,53.0
42188,75.0
15047,19.0
41903,202.0
11794,83.0
5596,169.0
46572,18.0
46713,176.0
40931,26.0
36079,8.0
33315,17.0
2038,72.0
49942,83.0
11641,200.0
19491,21.0
17517,71.0
32587,193.0
27861,109.0
19355,230.0
48383,5.0
29597,50.0
3947,251.0
5967,124.0
11231,17.0
41969,216.0
4647,50.0
7534,255.0
15350,38.0
10069,106.0
12458,293.0
6980,76.0
18218,269.0
12679,35.0
42183,163.0
33655,29.0
40187,34.0
48532,103.0
7228,16.0
14439,182.0
8340,57.0
4638,80.0
11367,87.0
6164,36.0
37900,62.0
24819,4.0
6025,58.0
42061,51.0
8294,121.0
46748,83.0
20879,32.0
41290,237.0
322,28.0
4586,4.0
1977,64.0
26044,51.0
7708,15.0
17155,186.0
34725,83.0
1948,24.0
32855,4.0
14235,25.0
20771,239.0
30461,124.0
42357,56.0
42366,160.0
24040,179.0
8610,217.0
27393,76.0
21048,27.0
10894,17.0
9574,57.0
33699,59.0
42169,38.0
49203,4.0
5098,40.0
3554,36.0
18238,33.0
45611,35.0
27799,125.0
46454,28.0
8518,62.0
17117,8.0
16662,174.0
20639,130.0
15266,91.0
43131,17.0
31499,41.0
27273,39.0
5976,196.0
45302,9.0
7320,8.0
2153,223.0
18085,83.0
20743,35.0
27147,56.0
27576,19.0
30829,17.0
12401,113.0
1925,69.0
42553,24.0
49037,32.0
37118,142.0
47883,120.0
6618,101.0
27993,49.0
11560,182.0
42217,27.0
42863,12.0
6958,59.0
16215,164.0
20882,73.0
30718,93.0
35357,111.0
35752,79.0
30443,110.0
15708,49.0
39968,31.0
33072,22.0
17246,31.0
45906,98.0
27902,130.0
1787,32.0
10134,8.0
36448,98.0
34015,34.0
14336,52.0
41564,2.0
15893,95.0
45485,21.0
13476,84.0
26470,30.0
45839,128.0
29629,63.0
29543,228.0
6864,28.0
13770,261.0
25869,34.0
50025,37.0
25968,151.0
38252,87.0
26322,38.0
8795,20.0
1515,30.0
34783,125.0
949,6.0
46849,250.0
25595,68.0
30493,57.0
16560,59.0
11226,10.0
45256,77.0
49695,54.0
10751,18.0
38196,24.0
30174,133.0
35786,56.0
18063,52.0
34189,55.0
43124,24.0
24872,25.0
7643,90.0
14857,93.0
11198,16.0
11289,30.0
35706,89.0
37365,59.0
2739,162.0
4514,132.0
7776,99.0
8759,79.0
26537,32.0
2125,16.0
19694,11.0
3746,172.0
46913,53.0
37578,16.0
18725,59.0
1849,28.0
25668,16.0
8573,199.0
40327,112.0
33628,50.0
46625,189.0
35681,46.0
38774,24.0
46284,2.0
8728,44.0
12017,109.0
13665,82.0
44096,249.0
32736,11.0
30899,59.0
49318,20.0
44064,81.0
21599,286.0
30297,34.0
15903,27.0
30846,279.0
47896,265.0
48371,137.0
24416,22.0
28713,201.0
10321,44.0
35461,9.0
27922,51.0
13371,9.0
26157,203.0
7222,41.0
860,31.0
43210,58.0
19704,44.0
34256,197.0
29861,57.0
43312,186.0
3998,32.0
48496,37.0
18884,9.0
33874,6.0
4912,14.0
4568,175.0
41478,10.0
11290,58.0
12141,162.0
44389,45.0
49778,52.0
19817,119.0
19484,21.0
44634,62.0
21893,32.0
43056,102.0
13735,112.0
41629,37.0
34356,51.0
45895,113.0
10028,75.0
12650,129.0
27023,60.0
36547,49.0
10076,21.0
28990,125.0
32483,69.0
20637,38.0
19966,150.0
23663,58.0
3400,26.0
43802,12.0
3166,113.0
30098,76.0
23544,42.0
20963,38.0
45589,33.0
24141,27.0
18235,110.0
17781,36.0
29337,24.0
4765,15.0
13687,30.0
42788,39.0
35798,24.0
7698,30.0
15980,6.0
28559,24.0
978,41.0
22272,237.0
21974,117.0
10706,243.0
9848,14.0
16342,64.0
27004,19.0
22256,28.0
22803,21.0
26871,10.0
20769,36.0
14089,54.0
29460,59.0
31030,31.0
46675,1.0
11210,23.0
11446,14.0
998,157.0
609,20.0
11802,191.0
15279,30.0
20627,204.0
24670,52.0
1506,46.0
42488,283.0
