iter	Passed	Remaining
0	3706	3702723
1	3974	1983165
2	4250	1412476
3	4498	1120159
4	4726	940621
5	4970	823380
6	5293	750911
7	5593	693554
8	5873	646688
9	6100	603933
10	6340	570046
11	6629	545865
12	6981	530052
13	7604	535599
14	7826	513912
15	8063	495921
16	8299	479913
17	8555	466729
18	8762	452446
19	8999	440987
20	9216	429676
21	9476	421261
22	9827	417474
23	10285	418277
24	10582	412736
25	11211	419995
26	11468	413300
27	11718	406806
28	11972	400856
29	12198	394430
30	12470	389791
31	12731	385127
32	12951	379515
33	13190	374764
34	13450	370851
35	13710	367140
36	13945	362959
37	14179	358962
38	14439	355808
39	14734	353632
40	14948	349649
41	15211	346965
42	15640	348088
43	15846	344307
44	16113	341965
45	16351	339111
46	16611	336826
47	16829	333780
48	17048	330876
49	17279	328315
50	17513	325881
51	17716	322977
52	17933	320430
53	18156	318079
54	18400	316153
55	18619	313869
56	18845	311771
57	19082	309926
58	19285	307585
59	19518	305796
60	19727	303677
61	19941	301699
62	20193	300340
63	20418	298615
64	20639	296888
65	20846	295012
66	21151	294538
67	21848	299455
68	22384	302022
69	22797	302879
70	23102	302280
71	23396	301559
72	23615	299883
73	23838	298302
74	24061	296757
75	24263	294994
76	24553	294327
77	24811	293278
78	25074	292320
79	25390	291993
80	25615	290630
81	25826	289129
82	26050	287815
83	26348	287322
84	26635	286727
85	27153	288582
86	27496	288557
87	27824	288362
88	28141	288054
89	28356	286718
90	28583	285519
91	28804	284283
92	29022	283049
93	29328	282676
94	29931	285138
95	30367	285960
96	30572	284610
97	30805	283538
98	31092	282975
99	31341	282069
100	31613	281393
101	31856	280464
102	32125	279771
103	32475	279786
104	32721	278913
105	32939	277814
106	33212	277186
107	33470	276445
108	33669	275227
109	33895	274246
110	34083	272972
111	34305	271993
112	34500	270817
113	34706	269737
114	34906	268625
115	35181	268109
116	35621	268833
117	35857	268018
118	36292	268689
119	36664	268876
120	36951	268432
121	37147	267341
122	37391	266605
123	37681	266201
124	37910	265373
125	38179	264835
126	38393	263916
127	38662	263387
128	39000	263328
129	39289	262937
130	39503	262047
131	39721	261196
132	39977	260605
133	40175	259639
134	40412	258938
135	40657	258295
136	40891	257583
137	41106	256765
138	41354	256161
139	41786	256688
140	42172	256922
141	42639	257635
142	42981	257587
143	43316	257492
144	43569	256911
145	43775	256055
146	43982	255219
147	44238	254672
148	44476	254023
149	44692	253256
150	44927	252603
151	45135	251809
152	45388	251269
153	45589	250443
154	45827	249835
155	46039	249083
156	46264	248415
157	46495	247777
158	46775	247412
159	46981	246651
160	47219	246067
161	47414	245265
162	47612	244490
163	47800	243666
164	47996	242890
165	48204	242184
166	48432	241584
167	48624	240806
168	48819	240055
169	49028	239374
170	49235	238690
171	49464	238121
172	49659	237391
173	49861	236698
174	50063	236012
175	50288	235442
176	50482	234730
177	50704	234151
178	50896	233441
179	51092	232754
180	51329	232260
181	51536	231633
